Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,958,656,-1.000,-1.000,2392
1,2,956,656,0.258,0.129,2387
1,3,953,656,0.387,0.194,2270
1,4,953,656,0.000,0.000,2402
1,5,952,653,0.408,0.204,2477
1,6,952,653,0.000,0.000,2307
1,7,949,654,0.408,0.204,2350
1,8,946,654,0.387,0.194,2291
1,9,942,654,0.516,0.258,2292
1,10,942,654,0.000,0.000,2375
1,11,940,656,0.365,0.182,2404
1,12,938,657,0.288,0.144,2270
1,13,934,657,0.516,0.258,2334
1,14,934,658,0.129,0.065,2243
1,15,934,654,0.516,0.258,2341
1,16,932,653,0.288,0.144,2356
1,17,929,656,0.547,0.274,2333
1,18,929,658,0.258,0.129,2401
1,19,926,657,0.408,0.204,2234
1,20,924,658,0.288,0.144,2252
1,21,920,658,0.516,0.258,2233
1,22,920,657,0.129,0.065,2321
1,23,917,658,0.408,0.204,2165
1,24,914,658,0.387,0.194,2216
1,25,913,658,0.129,0.065,2307
1,26,910,657,0.408,0.204,2267
1,27,908,660,0.465,0.233,2344
1,28,904,662,0.577,0.288,2184
1,29,904,658,0.516,0.258,2373
1,30,901,657,0.408,0.204,2358
1,31,900,658,0.182,0.091,2324
1,32,897,658,0.387,0.194,2382
1,33,894,657,0.408,0.204,2266
1,34,892,657,0.258,0.129,2363
1,35,890,660,0.465,0.233,2352
1,36,888,658,0.365,0.182,2428
1,37,885,656,0.465,0.233,2371
1,38,884,658,0.288,0.144,2414
1,39,881,656,0.465,0.233,2283
1,40,878,656,0.387,0.194,2361
1,41,877,657,0.182,0.091,2315
1,42,876,657,0.129,0.065,2387
1,43,876,657,0.000,0.000,2401
1,44,872,660,0.645,0.323,2277
1,45,869,660,0.387,0.194,2347
1,46,866,658,0.465,0.233,2361
1,47,864,658,0.258,0.129,2252
1,48,861,658,0.387,0.194,2322
1,49,860,658,0.129,0.065,2407
1,50,857,658,0.387,0.194,2405
1,51,856,661,0.408,0.204,2264
1,52,853,660,0.408,0.204,2381
1,53,850,660,0.387,0.194,2390
1,54,848,657,0.465,0.233,2358
1,55,844,660,0.645,0.323,2405
1,56,841,661,0.408,0.204,2344
1,57,840,660,0.182,0.091,2379
1,58,836,661,0.532,0.266,2288
1,59,830,661,0.774,0.387,2311
1,60,826,660,0.532,0.266,2294
1,61,826,658,0.258,0.129,2384
1,62,824,658,0.258,0.129,2390
1,63,818,658,0.774,0.387,2463
1,64,816,657,0.288,0.144,2565
1,65,814,658,0.288,0.144,2442
1,66,810,657,0.532,0.266,2277
1,67,806,658,0.532,0.266,2311
1,68,806,660,0.258,0.129,2435
1,69,804,658,0.365,0.182,2444
1,70,800,662,0.730,0.365,2324
1,71,793,660,0.939,0.470,2391
1,72,790,660,0.387,0.194,2398
1,73,786,661,0.532,0.266,2295
1,74,786,660,0.129,0.065,2412
1,75,780,658,0.816,0.408,2414
1,76,777,658,0.387,0.194,2338
1,77,772,660,0.695,0.347,2310
1,78,766,660,0.774,0.387,2297
1,79,765,658,0.288,0.144,2409
1,80,761,661,0.645,0.323,2399
1,81,756,660,0.658,0.329,2465
1,82,752,662,0.577,0.288,2321
1,83,748,660,0.577,0.288,2408
1,84,742,661,0.785,0.392,2312
1,85,738,658,0.645,0.323,2314
1,86,733,660,0.695,0.347,2371
1,87,728,661,0.658,0.329,2422
1,88,725,661,0.387,0.194,2488
1,89,718,660,0.912,0.456,2474
1,90,712,664,0.930,0.465,2296
1,91,706,662,0.816,0.408,2350
1,92,701,658,0.826,0.413,2342
1,93,694,661,0.982,0.491,2377
1,94,689,662,0.658,0.329,2399
1,95,684,660,0.695,0.347,2431
1,96,677,661,0.912,0.456,2515
1,97,668,661,1.161,0.581,2423
1,98,658,660,1.296,0.648,2279
1,99,650,660,1.032,0.516,2169
1,100,644,660,0.774,0.387,2262
1,101,633,661,1.425,0.712,2084
1,102,622,662,1.425,0.712,1750
1,103,613,660,1.189,0.595,1888
1,104,600,661,1.682,0.841,1572
1,105,585,660,1.939,0.970,1283
1,106,570,660,1.935,0.968,1140
1,107,550,661,2.583,1.292,1177
1,108,521,658,3.761,1.880,1883
1,109,478,656,5.553,2.776,3223
1,110,422,648,7.297,3.649,1132
