Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,965,607,-1.000,-1.000,3882
1,2,965,607,0.000,0.000,3794
1,3,965,607,0.000,0.000,3804
1,4,965,607,0.000,0.000,3891
1,5,965,607,0.000,0.000,3820
1,6,965,607,0.000,0.000,3917
1,7,965,607,0.000,0.000,3861
1,8,965,607,0.000,0.000,3823
1,9,963,608,0.288,0.144,3875
1,10,957,608,0.774,0.387,3850
1,11,954,608,0.387,0.194,4079
1,12,947,607,0.912,0.456,3840
1,13,944,610,0.547,0.274,3836
1,14,938,610,0.774,0.387,3853
1,15,934,609,0.532,0.266,3860
1,16,929,610,0.658,0.329,3975
1,17,924,611,0.658,0.329,3897
1,18,919,610,0.658,0.329,3866
1,19,915,610,0.516,0.258,3833
1,20,906,610,1.161,0.581,3924
1,21,898,612,1.064,0.532,3710
1,22,895,610,0.465,0.233,3847
1,23,889,612,0.816,0.408,3781
1,24,884,613,0.658,0.329,3965
1,25,878,613,0.774,0.387,3760
1,26,869,612,1.168,0.584,3642
1,27,863,612,0.774,0.387,3731
1,28,857,611,0.785,0.392,3593
1,29,851,611,0.774,0.387,3696
1,30,844,612,0.912,0.456,3677
1,31,835,613,1.168,0.584,3583
1,32,829,613,0.774,0.387,3646
1,33,820,615,1.189,0.595,3626
1,34,814,615,0.774,0.387,3723
1,35,806,616,1.040,0.520,3551
1,36,797,615,1.168,0.584,3742
1,37,786,616,1.425,0.712,3529
1,38,780,617,0.785,0.392,3567
1,39,769,616,1.425,0.712,3525
1,40,759,617,1.296,0.648,3485
1,41,747,618,1.553,0.777,3506
1,42,733,618,1.806,0.903,3193
1,43,724,613,1.328,0.664,3305
1,44,711,613,1.677,0.839,3352
1,45,695,617,2.128,1.064,3533
1,46,684,617,1.419,0.710,3639
1,47,663,619,2.721,1.361,3473
1,48,644,616,2.481,1.241,3326
1,49,622,617,2.841,1.420,3352
1,50,603,616,2.454,1.227,3438
1,51,575,615,3.614,1.807,3348
1,52,530,610,5.841,2.920,3208
1,53,479,602,6.659,3.330,3824
1,54,440,593,5.163,2.582,2105
